name,price,quantity,product_id
Computer,759.21,91,373
Laptop,639.7,14,374
Chair,247.62,31,375
Washer,168.93,36,376
Dryer,798.43,45,377
Washer,959.57,32,378
Heater,463.56,42,379
Bed,595.07,57,380
Table,859.15,87,381
Computer,462.65,2,382
Mirror,952.36,16,383
Fridge,579.99,32,384
Lamp,822.56,67,385
Oven,909.76,78,386
Fan,817.37,1,387
Bed,167.82,1,388
Washer,632.61,11,389
Microwave,404.45,17,390
TV,72.09,12,391
Bed,429.79,61,392
Laptop,266.1,90,393
Printer,850.55,23,394
Laptop,42.97,64,395
Lamp,959.39,70,396
Mirror,361.82,68,397
TV,363.14,20,398
Microwave,26.17,71,399
Fridge,193.38,52,400
Monitor,407.25,18,401
Fan,930.0,56,402
Chair,108.62,17,403
Speaker,945.85,26,404
Oven,870.79,99,405
Computer,459.62,55,406
TV,333.43,42,407
Mirror,240.42,82,408
Lamp,618.32,25,409
Dryer,42.74,11,410
Lamp,25.45,27,411
Printer,434.51,56,412
Lamp,77.39,95,413
Laptop,259.42,83,414
Washer,228.95,1,415
TV,260.66,4,416
Lamp,139.74,63,417
Printer,21.92,99,418
Phone,124.33,29,419
Microwave,622.3,11,420
Dryer,974.51,82,421
Monitor,990.44,73,422
Fridge,414.96,62,423
Fridge,171.32,22,424
Oven,642.37,48,425
Dryer,495.4,92,426
Bed,989.52,79,427
TV,74.65,25,428
Dryer,785.4,83,429
Table,295.51,35,430
Dryer,249.0,84,431
Bed,665.88,93,432
Computer,253.6,76,433
Mirror,669.2,83,434
TV,522.14,65,435
Computer,429.85,39,436
Camera,559.14,46,437
Oven,294.18,37,438
Lamp,709.51,2,439
Printer,420.71,41,440
Bed,366.94,96,441
Microwave,830.37,97,442
Computer,925.72,25,443
Chair,55.55,65,444
Monitor,240.3,30,445
Monitor,355.03,63,446
Camera,816.82,99,447
Table,985.64,45,448
Laptop,969.28,67,449
Bed,905.9,19,450
Chair,303.59,78,451
Laptop,992.09,73,452
Table,256.93,5,453
Camera,114.85,20,454
Chair,951.44,10,455
Phone,241.09,94,456
Camera,692.87,65,457
Phone,67.77,39,458
Washer,733.4,23,459
Dryer,882.9,26,460
Speaker,279.71,28,461
Fan,385.27,18,462
Oven,380.55,62,463
Camera,751.3,59,464
Chair,245.43,90,465
TV,180.13,76,466
Camera,454.8,71,467
Fridge,311.42,69,468
Camera,840.8,31,469
Table,245.36,9,470
Camera,507.37,61,471
Computer,943.16,16,472
Fridge,637.66,20,473
Speaker,868.62,17,474
Washer,940.81,97,475
Heater,753.26,93,476
Mirror,702.58,11,477
Dryer,968.29,59,478
Fridge,994.46,30,479
Dryer,457.3,78,480
Monitor,80.16,40,481
Printer,299.87,44,482
TV,160.83,59,483
Camera,423.31,7,484
Lamp,139.98,7,485
Oven,608.08,52,486
Speaker,388.98,93,487
Speaker,896.43,42,488
Camera,968.12,78,489
Table,551.42,39,490
Fridge,282.08,21,491
Computer,596.31,28,492
Laptop,897.79,86,493
Printer,412.67,15,494
Printer,556.56,99,495
Washer,278.94,17,496
Dryer,460.89,61,497
Microwave,407.7,15,498
Chair,255.93,34,499
Lamp,510.81,54,500
Oven,317.28,21,501
Camera,379.3,81,502
TV,529.72,55,503
Microwave,753.09,95,504
Washer,340.17,43,505
Bed,924.92,15,506
Bed,863.7,22,507
Oven,58.2,8,508
Computer,261.11,58,509
Camera,451.67,51,510
Oven,113.58,58,511
Oven,354.99,34,512
Heater,742.7,10,513
Bed,683.71,2,514
Printer,626.16,73,515
Mirror,713.42,6,516
Oven,212.87,45,517
Monitor,348.28,28,518
Speaker,679.48,23,519
Washer,880.44,4,520
Phone,548.24,60,521
Washer,289.87,84,522
Fan,39.93,48,523
Bed,713.23,57,524
Washer,17.81,76,525
Fan,378.95,52,526
Dryer,535.23,69,527
Printer,922.89,51,528
Chair,98.6,9,529
Laptop,411.88,36,530
Fridge,34.07,54,531
Camera,349.18,80,532
Dryer,626.01,18,533
TV,286.28,86,534
Camera,217.65,60,535
Dryer,124.55,67,536
Camera,581.37,92,537
Mirror,698.32,72,538
Fridge,675.24,27,539
Washer,949.37,1,540
Oven,12.68,97,541
Fan,650.72,9,542
Printer,604.39,64,543
Computer,592.85,59,544
Fridge,963.14,72,545
Fan,26.7,59,546
Speaker,699.52,93,547
Oven,815.54,28,548
Phone,514.71,78,549
Microwave,340.63,21,550
Mirror,792.93,64,551
Laptop,106.27,18,552
Printer,447.62,89,553
Table,524.75,85,554
Laptop,697.02,69,555
Dryer,99.98,13,556
Chair,235.48,12,557
Camera,416.2,11,558
Oven,627.06,57,559
Speaker,888.09,78,560
Phone,622.64,59,561
Microwave,142.13,12,562
Phone,980.77,33,563
Speaker,873.07,93,564
Heater,507.69,61,565
Laptop,923.12,76,566
Heater,545.97,40,567
Washer,924.07,70,568
Phone,831.6,34,569
Washer,968.6,62,570
Lamp,920.58,98,571
Heater,45.67,34,572
Bed,183.02,7,573
Oven,395.24,31,574
Computer,952.62,92,575
Heater,307.03,15,576
Washer,168.86,98,577
Heater,887.44,91,578
Lamp,451.93,88,579
Heater,908.8,85,580
Heater,168.63,68,581
Printer,664.51,87,582
Camera,445.86,70,583
Washer,85.72,14,584
Bed,699.5,32,585
Laptop,254.92,80,586
Mirror,49.22,70,587
Laptop,69.34,53,588
Table,70.47,82,589
Table,908.66,96,590
Heater,742.49,89,591
Washer,899.08,87,592
Lamp,675.86,58,593
Microwave,533.65,18,594
Dryer,311.4,63,595
Washer,997.98,69,596
TV,368.57,82,597
Dryer,475.94,46,598
Lamp,384.46,55,599
Table,979.73,64,600
Fan,182.91,71,601
Bed,334.71,60,602
Computer,683.55,86,603
Camera,72.58,7,604
Chair,611.18,45,605
Washer,482.87,31,606
Speaker,291.16,53,607
Bed,246.03,23,608
Dryer,519.37,23,609
Phone,374.25,43,610
Microwave,461.95,54,611
Washer,344.1,50,612
Fan,970.79,91,613
Speaker,142.11,41,614
Computer,105.84,78,615
Washer,349.96,9,616
Lamp,595.12,48,617
Mirror,662.58,13,618
Computer,403.28,89,619
Fridge,999.29,24,620
Speaker,358.37,38,621
Heater,724.19,10,622
Printer,641.21,34,623
Speaker,814.92,93,624
Printer,976.46,98,625
Mirror,890.9,11,626
Heater,766.92,3,627
Bed,701.27,92,628
Fan,342.14,15,629
Table,156.21,91,630
Heater,72.01,4,631
Fan,249.48,20,632
Mirror,437.96,64,633
TV,526.78,77,634
Bed,775.35,56,635
Heater,959.15,91,636
Speaker,126.15,75,637
Mirror,115.93,51,638
Oven,593.8,25,639
Bed,747.94,57,640
Heater,849.67,43,641
Lamp,936.47,5,642
Speaker,983.59,4,643
Oven,405.8,69,644
Table,386.53,10,645
Monitor,156.33,80,646
Phone,688.09,36,647
Table,660.19,4,648
Speaker,863.44,71,649
Chair,106.29,79,650
Table,502.8,25,651
Washer,585.27,70,652
TV,249.14,41,653
Fan,177.34,73,654
Lamp,860.99,41,655
Printer,67.95,15,656
Dryer,475.91,9,657
Oven,124.68,36,658
Camera,462.49,22,659
Camera,980.16,4,660
Heater,429.47,39,661
Phone,858.55,87,662
Washer,126.14,70,663
Printer,278.54,1,664
Chair,409.75,49,665
TV,405.81,22,666
Chair,674.67,48,667
Laptop,351.27,97,668
Chair,716.63,49,669
Heater,642.8,57,670
TV,405.17,8,671
Phone,437.44,24,672
Mirror,618.38,5,673
Lamp,79.34,31,674
Monitor,824.18,14,675
Washer,656.89,51,676
Bed,729.08,4,677
Oven,541.55,59,678
Lamp,119.37,69,679
Chair,410.99,43,680
Oven,411.32,26,681
Monitor,327.83,83,682
Fan,39.65,29,683
Fridge,739.88,81,684
Table,118.69,50,685
Monitor,610.25,50,686
Computer,706.19,15,687
Printer,638.44,75,688
Chair,959.55,98,689
Washer,112.27,63,690
Speaker,868.5,90,691
Monitor,38.9,55,692
Laptop,539.57,92,693
Heater,410.2,80,694
Washer,528.94,44,695
Washer,371.45,44,696
Speaker,198.66,42,697
Computer,28.93,31,698
Bed,522.97,59,699
Microwave,844.35,86,700
Oven,379.48,70,701
Washer,230.64,21,702
Washer,89.73,30,703
Microwave,94.46,98,704
Chair,229.18,58,705
Mirror,109.01,51,706
Fan,272.39,77,707
Microwave,75.49,77,708
Table,74.95,26,709
Camera,857.71,7,710
Microwave,170.5,35,711
Fridge,564.09,38,712
Printer,775.72,43,713
Computer,461.85,49,714
Computer,161.84,55,715
Chair,207.6,51,716
Fridge,438.65,96,717
Laptop,532.95,71,718
TV,355.95,9,719
Washer,783.66,60,720
Camera,753.51,31,721
Fridge,927.94,39,722
Fridge,38.66,95,723
Camera,896.73,30,724
Fan,398.64,95,725
TV,879.59,3,726
Table,693.88,85,727
Bed,987.48,58,728
Chair,761.69,83,729
Monitor,370.9,56,730
Oven,506.05,89,731
Bed,382.63,92,732
Speaker,371.26,33,733
Monitor,268.3,85,734
Mirror,501.01,38,735
Camera,684.92,66,736
Laptop,284.57,39,737
Mirror,529.14,78,738
Washer,126.21,14,739
Laptop,168.25,87,740
Chair,56.34,70,741
Camera,971.02,98,742
Lamp,13.82,4,743
Fan,186.79,42,744
Microwave,616.74,6,745
Oven,90.56,31,746
Fan,883.08,5,747
Fan,722.42,52,748
Speaker,966.73,2,749
TV,512.56,12,750
Table,307.4,51,751
Printer,554.01,84,752
TV,931.51,85,753
Chair,525.55,80,754
Laptop,274.53,65,755
TV,878.62,54,756
Speaker,378.2,39,757
Laptop,11.37,89,758
Laptop,255.21,26,759
Camera,325.05,79,760
Phone,860.19,17,761
Lamp,463.92,99,762
Microwave,450.14,30,763
Fan,342.74,54,764
Heater,881.87,89,765
Microwave,945.58,57,766
Fan,991.97,26,767
Table,382.97,15,768
Lamp,966.49,93,769
Camera,793.96,84,770
Microwave,678.93,64,771
Computer,252.44,9,772
Dryer,224.29,84,773
Washer,174.39,33,774
Laptop,923.53,23,775
Monitor,301.14,17,776
Fan,458.56,42,777
Printer,499.02,32,778
Camera,780.39,69,779
Bed,845.79,21,780
Table,147.68,78,781
Speaker,432.64,63,782
Camera,844.43,17,783
Chair,819.85,78,784
Bed,111.39,91,785
Fan,164.82,33,786
Oven,311.16,71,787
Oven,84.61,89,788
Printer,430.42,10,789
Fan,116.54,86,790
Dryer,572.54,21,791
Fridge,254.09,29,792
Speaker,600.47,80,793
Speaker,126.35,16,794
TV,976.13,13,795
Speaker,933.24,96,796
Dryer,397.88,45,797
Fan,249.76,47,798
Phone,257.89,56,799
Camera,488.56,78,800
Bed,49.59,83,801
Chair,643.31,90,802
Printer,414.22,5,803
Dryer,383.63,70,804
Bed,811.27,31,805
TV,711.95,9,806
Dryer,954.79,3,807
Camera,358.42,34,808
Mirror,898.57,35,809
Lamp,772.27,80,810
Printer,363.85,35,811
Speaker,625.45,97,812
Mirror,295.68,4,813
Camera,875.66,59,814
Chair,121.3,53,815
Computer,220.31,58,816
Table,191.2,68,817
Dryer,409.0,86,818
Washer,747.78,56,819
Oven,531.64,37,820
Table,492.8,62,821
Computer,10.54,59,822
Mirror,431.15,71,823
Chair,72.92,86,824
Washer,216.17,15,825
Bed,933.07,15,826
Phone,223.24,82,827
Oven,859.75,95,828
Computer,804.86,60,829
Monitor,167.55,84,830
Lamp,609.65,99,831
Microwave,124.51,97,832
Computer,730.61,97,833
Heater,641.09,94,834
Speaker,813.82,55,835
Phone,484.59,24,836
Laptop,915.71,71,837
Chair,58.86,56,838
Washer,299.96,96,839
Lamp,717.9,49,840
Washer,423.93,23,841
Speaker,181.22,87,842
Lamp,116.14,55,843
Monitor,819.17,97,844
TV,478.41,2,845
Computer,883.46,85,846
Printer,735.96,21,847
Printer,415.63,14,848
Dryer,379.78,63,849
Microwave,520.48,71,850
Bed,890.17,63,851
Speaker,739.91,49,852
Chair,15.1,35,853
Oven,697.22,85,854
Heater,920.31,35,855
Microwave,713.35,52,856
Camera,185.24,11,857
Lamp,488.68,86,858
Heater,148.91,95,859
Fridge,365.41,43,860
Laptop,937.75,2,861
Lamp,924.07,7,862
Table,290.01,29,863
Mirror,346.23,77,864
Microwave,604.21,49,865
Bed,963.57,60,866
Fan,156.32,51,867
Microwave,264.35,64,868
Camera,874.82,76,869
Fan,496.97,53,870
Laptop,899.97,77,871
Microwave,193.66,49,872
Camera,537.34,6,873
Fan,333.01,47,874
Oven,323.38,85,875
Chair,452.41,16,876
Printer,438.75,17,877
Table,363.77,65,878
Lamp,915.82,26,879
Camera,734.43,64,880
Microwave,730.27,38,881
Speaker,297.01,30,882
Heater,581.93,42,883
TV,781.39,76,884
Phone,797.63,42,885
Speaker,351.09,91,886
Monitor,773.16,7,887
Printer,738.53,87,888
Chair,150.09,98,889
Camera,867.29,30,890
Fan,446.91,83,891
Chair,491.55,91,892
Phone,453.89,76,893
Phone,572.17,50,894
Fridge,624.96,86,895
Bed,503.2,9,896
Microwave,868.12,46,897
Fridge,631.46,49,898
Bed,407.41,33,899
Speaker,422.52,27,900
Chair,812.73,16,901
Washer,354.71,51,902
Bed,219.34,81,903
Heater,68.79,1,904
Phone,877.27,74,905
Chair,919.36,8,906
Lamp,128.92,94,907
Laptop,341.13,1,908
Heater,183.62,33,909
Microwave,124.74,97,910
Fridge,900.87,15,911
Monitor,66.31,51,912
Speaker,980.68,72,913
Lamp,105.49,99,914
Bed,864.84,25,915
Mirror,570.84,35,916
Dryer,374.24,17,917
Computer,348.92,11,918
Fridge,759.79,55,919
Fridge,321.43,10,920
Chair,660.75,12,921
TV,522.15,21,922
Computer,490.12,63,923
Speaker,902.15,20,924
Chair,559.1,46,925
Washer,828.59,85,926
Computer,728.32,97,927
Computer,48.17,23,928
Laptop,775.38,88,929
Fridge,224.7,94,930
Mirror,904.12,88,931
Bed,52.49,64,932
Laptop,339.74,49,933
Chair,108.74,71,934
Heater,480.83,51,935
Fan,821.82,56,936
Dryer,305.21,70,937
Computer,159.43,15,938
Heater,336.96,76,939
TV,815.74,27,940
Printer,148.98,77,941
Oven,235.09,39,942
Camera,78.16,36,943
Mirror,708.65,46,944
Fridge,401.28,38,945
Printer,317.73,34,946
Mirror,721.44,28,947
Phone,342.62,44,948
Phone,730.49,63,949
Lamp,817.05,89,950
Oven,225.49,44,951
Laptop,974.08,37,952
Oven,170.73,46,953
Fridge,297.93,33,954
Dryer,188.0,3,955
Monitor,352.05,3,956
Bed,485.26,77,957
Bed,526.95,24,958
Fan,855.07,86,959
Heater,890.55,8,960
Table,227.9,99,961
Heater,626.67,96,962
Fan,120.38,68,963
Computer,464.38,59,964
Fan,329.11,71,965
Heater,323.34,29,966
Washer,487.76,41,967
Speaker,732.53,83,968
Table,78.49,49,969
Dryer,880.38,53,970
Bed,737.47,77,971
Printer,184.73,66,972
Table,939.77,14,973
Printer,511.25,73,974
Phone,999.81,31,975
Washer,205.29,80,976
Table,539.56,57,977
Computer,297.35,50,978
Laptop,311.13,93,979
TV,595.15,97,980
Computer,922.5,28,981
TV,807.21,94,982
Monitor,726.7,90,983
Computer,563.58,37,984
Table,923.08,12,985
Fridge,497.44,83,986
Laptop,875.09,58,987
Printer,835.64,77,988
Mirror,221.7,86,989
Heater,773.51,71,990
Monitor,22.05,74,991
Lamp,329.6,38,992
Laptop,237.27,44,993
Oven,511.79,1,994
Table,739.48,70,995
Lamp,106.7,91,996
Mirror,519.77,37,997
Heater,939.03,14,998
Oven,236.36,15,999
Washer,680.37,52,1000
Printer,596.95,40,1001
Microwave,19.96,61,1002
Fan,481.07,19,1003
Phone,711.68,41,1004
Mirror,53.54,6,1005
Camera,880.73,87,1006
Phone,524.88,9,1007
Lamp,40.35,15,1008
Laptop,232.17,52,1009
Bed,954.14,74,1010
Chair,586.5,61,1011
TV,116.4,17,1012
Washer,294.67,19,1013
Oven,462.14,47,1014
Heater,30.74,37,1015
Washer,417.5,94,1016
Table,494.56,66,1017
Camera,251.24,86,1018
Oven,592.75,50,1019
TV,755.71,36,1020
Printer,243.48,88,1021
Speaker,624.29,69,1022
Heater,643.23,66,1023
Camera,949.05,22,1024
Laptop,780.49,52,1025
Phone,849.86,32,1026
Mirror,495.52,7,1027
Fan,193.5,3,1028
Computer,995.86,16,1029
Dryer,138.06,60,1030
Printer,476.74,59,1031
Bed,77.41,40,1032
Mirror,944.41,21,1033
Chair,965.28,33,1034
Oven,722.2,89,1035
Laptop,356.49,35,1036
Microwave,261.84,71,1037
TV,272.65,60,1038
Computer,136.02,55,1039
Oven,530.55,10,1040
Fridge,150.4,44,1041
Heater,323.56,14,1042
Bed,630.44,74,1043
Microwave,730.27,85,1044
Table,34.03,78,1045
Laptop,435.81,14,1046
Mirror,655.6,77,1047
Heater,854.71,86,1048
Mirror,480.57,38,1049
Printer,969.51,77,1050
Fan,272.98,79,1051
TV,23.37,74,1052
Speaker,488.92,28,1053
Lamp,263.55,95,1054
Chair,825.48,20,1055
Speaker,240.44,22,1056
Microwave,317.52,7,1057
Chair,793.32,67,1058
Camera,717.99,39,1059
Printer,562.47,20,1060
Mirror,707.9,5,1061
Laptop,424.45,81,1062
Lamp,15.26,82,1063
Microwave,21.24,39,1064
Dryer,516.11,78,1065
Lamp,92.46,47,1066
Fridge,60.56,38,1067
Fan,965.86,26,1068
Speaker,860.41,14,1069
TV,160.51,86,1070
Mirror,10.66,61,1071
Microwave,942.25,38,1072
Heater,285.54,43,1073
Microwave,194.04,5,1074
Oven,694.59,91,1075
Camera,117.81,58,1076
Dryer,272.0,87,1077
Microwave,975.34,79,1078
Speaker,643.07,79,1079
Speaker,525.47,43,1080
Phone,403.94,84,1081
Heater,776.76,26,1082
Speaker,149.55,95,1083
Table,967.66,49,1084
Monitor,862.51,37,1085
Oven,621.48,12,1086
Mirror,52.48,55,1087
Fan,703.85,95,1088
Monitor,914.15,59,1089
Chair,529.33,23,1090
Phone,360.68,66,1091
Monitor,129.07,27,1092
Microwave,757.35,81,1093
Phone,886.17,17,1094
Chair,109.25,97,1095
Speaker,761.39,81,1096
Laptop,26.89,70,1097
Computer,967.38,11,1098
Lamp,618.91,76,1099
Phone,556.91,22,1100
Laptop,302.99,36,1101
Oven,930.0,61,1102
Speaker,273.25,87,1103
Laptop,829.87,97,1104
Dryer,985.26,58,1105
Speaker,785.56,97,1106
Heater,523.8,18,1107
Chair,75.41,78,1108
Computer,477.69,20,1109
Fan,443.87,86,1110
Mirror,210.77,69,1111
Phone,429.35,89,1112
Speaker,364.18,88,1113
Computer,172.05,2,1114
Bed,446.96,8,1115
Microwave,270.17,43,1116
Oven,526.84,75,1117
Fridge,44.81,2,1118
Heater,907.17,23,1119
Monitor,818.2,51,1120
Washer,557.06,72,1121
Laptop,853.29,10,1122
Lamp,962.77,93,1123
TV,119.42,45,1124
Camera,634.52,47,1125
Lamp,998.01,20,1126
